SH_ID_36,区36,地址,lng,lat
10gddc1,f,板泉路2000弄,121.53131089410005,31.16576088688467
10gddc2,f,板泉路2101弄,121.53196137534518,31.168075833252736
10gddc3,f,板泉路50号,121.49472059898177,31.157851205398483
10gddc4,f,北艾路155弄,121.54289330677449,31.185701402618456
10gddc5,f,北艾路1765弄,121.52335199899252,31.17795264991329
10gddc6,f,北艾路73弄,121.54493443177154,31.18500567601039
10gddc7,f,北艾路862弄,121.53722879862065,31.184346027814282
10gddc8,f,北蔡镇联勤村李家队李家宅,121.55119397131567,31.161796503494475
10gddc9,f,北蔡镇联勤村麦家宅,121.54773687276489,31.16431493931183
10gddca,f,北蔡镇南新村东钟家宅,121.54239220849438,31.16649290534608
10gddcb,f,北蔡镇南新村西钟家宅,121.54117730995928,31.166082388013454
10gddcc,f,北蔡镇南新村赵家厍,121.53835797038043,31.169857137801223
10gddcd,f,北蔡镇卫行村顾家队张家宅,121.58310673756662,31.166767820470906
10gddce,f,北蔡镇卫行村张浜队南顾家宅,121.58206860445452,31.16579344390968
10gddcf,f,北蔡镇卫行村张浜队王家宅,121.67868279930106,31.165610621769563
10gddcg,f,北蔡镇卫行村朱家队朱家宅,121.58289208433254,31.161325842066184
10gddch,f,北蔡镇五星村陈家队奚家宅,121.55036442928467,31.156264772413067
10gddci,f,北蔡镇五星村吴家队吴家宅,121.57159005771018,31.173910425652316
10gddcj,f,北蔡镇五星村徐家队顾家宅,121.57123855302363,31.16511636389663
10gddck,f,北蔡镇杨桥村西计队西计家宅,121.5781603706651,31.19015297948891
10gddcl,f,北蔡镇中界村陈家队陈家宅,121.56629568686144,31.192550841143806
10gddcm,f,北蔡镇中界村复兴队陈家宅,121.5715831035385,31.18782242981094
10gddcn,f,北蔡镇中界村黄家队黄家宅,121.573012688032,31.18512658759949
10gddco,f,北蔡镇中界村陆家队陆家宅,121.70846678413037,31.208990481209177
10gddcp,f,北蔡镇中界村苏家队苏家宅,121.57043976662058,31.18537414742266
