SH_ID_36,区36,地址,lng,lat
10g95up,d,爱辉路1018弄,121.4468954175168,31.34563309236245
10g95un,d,爱辉路171号,121.44969438534581,31.341784101456543
10g95uo,d,爱辉路198号,121.45479669175653,31.329921913917676
10g95uk,d,爱辉路27弄,121.45579494647419,31.3279130390029
10g95ul,d,爱辉路28弄,121.45313305592317,31.32671222067842
10g95um,d,爱辉路49号,121.4556872693537,31.328061326206825
10g95uq,d,安达路5号,121.49567462610699,31.36343601346517
10g95ur,d,白杨村,121.39646960498253,31.342333684720895
10g95us,d,班溪路24弄,121.4957990034127,31.37044598003142
10g95uu,d,宝安公路332号,121.41832293620229,31.366847468561367
10g95ut,d,宝安公路88号,121.42716100837553,31.37125397758
10g95uv,d,宝城二村,121.4894850551887,31.40912440350154
10g95uw,d,宝荻路516号,121.3963708460035,31.360909044507494
10g95ux,d,宝荻路535弄,121.39559609543336,31.360905847241135
10g95uy,d,宝东路41号,121.50302288112873,31.39564543474079
10g95uz,d,宝钢二村,121.4841915298065,31.404161154917627
10g95v1,d,宝钢七村,121.48285922817934,31.409067215120675
10g95v0,d,宝钢三村,121.4809208201793,31.403023386405867
10g95v2,d,宝钢十一村,121.484674460705,31.410465693518272
10g95v3,d,宝菊路377号,121.36331917754757,31.349086194046592
10g95v7,d,宝林八村,121.49399782407565,31.406780128701847
10g95v4,d,宝林二村,121.48767677730542,31.400815975195577
10g95v8,d,宝林九村,121.49914577389768,31.404077792406994
10g95v6,d,宝林六村,121.4989073582146,31.402528818234337
10g95v9,d,宝林路277号,121.48646470435183,31.401255756145495
10g95v5,d,宝林四村,121.49130159688193,31.404967321876196
10g95va,d,宝祁路399号,121.34913651077272,31.303111034653426
10g95ve,d,宝山八村,121.494580316199,31.395829314633787
10g95vb,d,宝山二村,121.50010861526695,31.39358067369903
10g95vf,d,宝山九村,121.49699561713128,31.399993947097766
10g95vd,d,宝山七村,121.49875768847131,31.39697156239494
10g95vc,d,宝山三村,121.49688757742307,31.393681769752472
10g95vg,d,宝山十村,121.4918075855732,31.397174845192698
10g95vi,d,宝杨路158号,121.49997269459591,31.401928516259087
10g95vj,d,宝杨路1800号,121.47538671103236,31.39266862240394
10g95vk,d,宝杨路1850号,121.47620099441981,31.391944991023223
10g95vl,d,宝杨路1900弄,121.47381765848976,31.391155113061547
10g95vm,d,宝杨路1941弄,121.4718475101228,31.394382748340814
10g95vo,d,宝杨路2000号,121.47108200606431,31.3910156899226
10g95vp,d,宝杨路2020号,121.46471331995052,31.387696065900634
10g95vq,d,宝杨路3088号,121.44329717945735,31.37606272570578
10g95vr,d,宝杨路3090号,121.4441845111181,31.375777936376014
10g95vs,d,宝杨路3184弄,121.44018186823224,31.374548261876537
10g95vt,d,宝杨路3256弄,121.43780845727831,31.372017293361374
10g95vu,d,宝杨路3323号,121.4341227117221,31.37333598159137
10g95vn,d,宝杨路853弄,121.48516769215856,31.399400067354737
10g95vv,d,北安路45号,121.42804917484406,31.419383866890147
10g95vw,d,北宗村,121.40334875164386,31.387832227462905
10g95vx,d,采江路8弄,121.48535430852576,31.41451694285413
10g95vy,d,采江路9弄,121.48361392366914,31.413328251696935
10g95vz,d,蔡家弄村,121.36579434362599,31.373058908832764
10g95x3,d,场北路39弄,121.43634362896515,31.334577017697704
10g95x4,d,场北路551弄,121.42693418321417,31.332664933042796
10g95x5,d,场北路704号,121.42526205423636,31.33205082488989
10g95x6,d,场联路188号,121.41024774381889,31.306567719863377
10g95x7,d,场南村,121.41578201373495,31.289743785090824
10g95x8,d,场中路3658弄,121.42641181967132,31.302090528247344
10g95x9,d,场中路4079弄,121.41476321295531,31.304468786165526
10g95xa,d,场中路4098弄,121.4150714155726,31.301125786568107
10g95xb,d,陈川路555弄,121.332931561471,31.47828423746437
10g95xc,d,陈巷村,121.47399387730287,31.376549141703148
10g95xd,d,城西二村,121.43415720732911,31.393663186792537
10g95xe,d,城银路1号,121.36098544621807,31.311870229825587
10g95xf,d,城银路525号,121.35095668308855,31.313554887529794
10g95xg,d,城银路655弄,121.34926354159772,31.31597867417454
10g95xh,d,城银路700号,121.34687588704794,31.314264524252216
10g95xi,d,川念路58号,121.37689166493854,31.482113659518955
10g95xj,d,春和路406号,121.40844128908941,31.408969674964975
10g95xk,d,春雷路136弄,121.43394163342026,31.404765513896066
10g95xl,d,春雷路331弄,121.43585802730844,31.409485420978314
10g95xm,d,春雷路332弄,121.43269003502664,31.41012947730378
10g95xn,d,春雷路354弄,121.43343379766009,31.41161210167311
10g95xo,d,大华二路268号,121.41396322355325,31.272711289848747
10g95xp,d,大华路455弄,121.41562849912978,31.27107134346052
10g95xq,d,大华路600号,121.41638261089054,31.281385507004593
10g95xr,d,大华路781弄,121.4154587817554,31.27425076458643
10g95xs,d,大华路988弄,121.41311537279341,31.27838408134502
10g95xt,d,大康路632号,121.426220477508,31.321852932576544
10g95xu,d,大康路829号,121.41659627983458,31.3291458963005
10g95xv,d,大康路891弄,121.42307866517274,31.330240538156435
10g95xw,d,大陆村,121.38339817325186,31.34864671616081
10g95y2,d,德都路108号,121.42300476372726,31.416311208841513
