SH_ID_36,区36,地址,lng,lat
10foxrm,d,场北路399弄,121.43053820436975,31.334481863409174
10foxsp,d,新沪路475弄,121.4186114569904,31.27076789684672
10foxsy,k,港坤路399弄,121.73519291565398,30.93297658583291
10foxpp,k,万顺路2768弄,121.51640036697086,30.969785441028066
10foxsg,k,新四平公路467弄,121.73759730275765,30.891479627906225
10foxpk,9,广灵四路280弄,121.47417664458418,31.288080587274102
10foxsk,9,新市南路1148弄,121.48054619393956,31.299210800669815
10foxqp,9,逸仙路288弄,121.48635702717303,31.29880876133947
10foxsn,9,逸仙路288弄,121.48649516594273,31.298964896163337
10foxs4,1,大沽路183弄,121.47142892949837,31.226098551197875
10foxpd,1,陆家浜路1398号,121.48227979940255,31.21115329912787
10foxso,1,南苏州路933号,121.47448692168244,31.24048591840989
10foxsl,1,南塘浜路119号,121.47270403793195,31.203311459651133
10foxrw,1,顺昌路580号,121.47934839469113,31.21142182147591
10foxrx,1,顺昌路580号,121.479555335059,31.21162898687905
10foxs1,1,顺昌路598号,121.47972969810276,31.211215179855255
10foxpl,1,顺昌路612弄,121.47927245900092,31.21124284417982
10foxrp,1,顺昌路612弄,121.47936847085487,31.2111620813941
10foxrq,1,顺昌路612弄,121.47929450535266,31.211160476037595
10foxrr,1,顺昌路612弄,121.47928782062252,31.211164182158143
10foxrs,1,顺昌路612弄,121.47924661832182,31.211209242936572
10foxrt,1,顺昌路612弄,121.47914969970472,31.211189473951553
10foxru,1,顺昌路612弄,121.47944646469527,31.21102774483737
10foxrv,1,顺昌路612弄,121.47914584695701,31.211298343843907
10foxry,1,顺昌路612弄,121.47939314320958,31.21116544896537
10foxrz,1,顺昌路612弄,121.47909700442348,31.21123134059234
10foxs0,1,顺昌路612弄,121.4794439418786,31.211023474660983
10foxs2,1,顺昌路612弄,121.4794089957572,31.211380207114782
10foxs3,1,顺昌路612弄,121.4792597452577,31.211263672831638
10foxqv,1,西藏南路1129弄,121.48731087609748,31.210839558753108
10foxsv,1,永年路54号,121.48063843464104,31.212293092906922
10foxq1,1,浙江中路188弄,121.47968258712096,31.232994326614975
10foxpl,e,宝安公路3705弄,121.26846547062692,31.325394808568614
10foxpn,e,崇教路267号对面工地宿舍,121.2743285379349,31.320743115790478
10foxpo,e,崇教路267号对面工地宿舍,121.27427322048798,31.320687833492375
10foxqo,e,崇教路267号对面工地宿舍,121.27430785603477,31.32086495150834
10foxsa,e,崇教路267号对面工地宿舍,121.27422284887683,31.320860825400857
10foxsb,e,崇教路267号对面工地宿舍,121.27434665239112,31.320635796157394
10foxsc,e,崇教路267号对面工地宿舍,121.27410741252592,31.320737114622506
10foxsd,e,崇教路267号对面工地宿舍,121.27424114991521,31.320785657847317
10foxqs,e,封周路885弄,121.26312652296748,31.327716905545245
10foxst,e,海川路108号,121.35077063283458,31.264164854629094
10foxrj,e,红石路699弄,121.22451618770258,31.385599582010467
10foxrg,e,汇旺东路1295弄,121.20634950406762,31.397474853249744
10foxsm,e,临夏路98弄,121.33680047856123,31.258397042985106
10foxpj,e,娄塘村,121.21341419407189,31.432879625611758
10foxqc,e,梅园路300弄,121.24319616619566,31.38651014647369
10foxqt,e,南新路317号,121.21760350678943,31.428946217981256
10foxrh,e,南新路626弄,121.21692254107222,31.427741712208842
10foxs5,e,三里村,121.20003795685557,31.452993508234808
10foxpk,e,小东街,121.21774466887368,31.4359136577803
10foxri,e,小东街,121.21793348333748,31.43555027035811
10foxrk,e,小东街,121.21766788710231,31.435647029532987
10foxqd,e,张掖路355号,121.33459320012854,31.258865174378986
10foxqe,e,中大街128号,121.57734086737155,31.117109825834582
10foxro,g,海盛路500弄,121.3527090489048,30.752299502694026
10foxsw,g,恒顺路216弄,121.34351145106969,30.854199761132186
10foxsf,g,建农村,121.29298292235151,30.777277310822797
10foxqm,g,学府路2208弄,121.31267498966912,30.743725086218582
10foxqr,6,沪太路1170弄,121.42627153023743,31.27657916310063
10foxsx,6,沪太路1170弄,121.42634241567113,31.2768431125099
10foxqn,6,沪太路1329弄,121.42383704587131,31.282094008067453
10foxse,6,临汾路894弄,121.44962372302396,31.3115428028432
10foxql,6,茂名北路93号,121.46009409884294,31.22540959117654
10foxs6,6,西藏北路970弄,121.46767138282716,31.259822843955515
10foxr9,c,安乐村,121.41091362468985,31.029191528952254
10foxsr,c,昌林路430号,121.51788288973162,31.064775209314828
10foxpg,c,东川路800号,121.43605613160292,31.023918246035887
10foxph,c,东川路800号,121.43644609575597,31.02383854513673
10foxqw,c,东川路800号,121.43630807837879,31.023858120881094
10foxqx,c,东川路800号,121.43637879780574,31.023884232726672
10foxqy,c,东川路800号,121.43640193283365,31.023855249334016
10foxqz,c,东川路800号,121.43612747446953,31.023827938774005
10foxr0,c,东川路800号,121.43641726170496,31.02410335048632
10foxr1,c,东川路800号,121.43627410426701,31.02382332429232
10foxr2,c,东川路800号,121.43609626379039,31.024076773798093
10foxr3,c,东川路800号,121.43612528791435,31.02415239414847
10foxr5,c,东川路800号,121.43619434356351,31.023891063857416
10foxr8,c,东川路800号,121.43610778124999,31.023976271184743
10foxs7,c,都会路3552号,121.41170549529889,31.08452105223148
10foxs8,c,虹梅南路1781弄,121.42825398790771,31.10672677388784
10foxsq,c,汇红村,121.54407742478747,31.018870411197142
10foxpi,c,剑川路中铁四局工地宿舍,121.35318614856581,31.006963544032484
10foxq3,c,剑川路中铁四局工地宿舍,121.35352642884412,31.006972041270732
10foxr4,c,剑川路中铁四局工地宿舍,121.35325961664806,31.00699322807764
10foxr6,c,剑川路中铁四局工地宿舍,121.35345951151048,31.00710291733878
10foxr7,c,剑川路中铁四局工地宿舍,121.35326740053709,31.006847321177023
10foxss,c,江川路633弄,121.40400279702705,31.00083552003732
10foxpe,c,龙吴路5395号,121.46625249905102,31.047348625416507
10foxpi,c,申北路168弄,121.3846476566637,31.09190227550613
10foxsu,c,石屏路399弄,121.41860998423758,31.017021384161918
10foxq7,f,高宝路68弄,121.61824693838282,31.289347947859902
10foxpz,f,古棕路168弄,121.91740507483392,30.884133961546006
10foxpq,f,鹤沙路588弄,121.59318097503136,31.08184184574185
10foxpg,f,金桥路301弄,121.57288933340058,31.266188988491862
10foxq5,f,兰城路115弄,121.5798139052317,31.26638498245094
10foxsh,f,兰谷路1888弄,121.59231222930548,31.29823806835771
10foxqb,f,妙境路124弄,121.68897325674209,31.196999813553326
10foxq6,f,南塘村,121.56816671879109,31.339054208619807
10foxpd,f,浦东大道2778弄,121.57544429547704,31.269262753032194
10foxpe,f,浦东大道2778弄,121.5757683051279,31.26945834472982
10foxpr,f,听悦路685弄,121.73691093883268,31.054785788395215
10foxpx,f,听悦路960弄,121.73964009682253,31.06020148411922
10foxpy,f,西门路588弄,121.73710557227693,31.047515737162943
10foxq8,f,新行路433弄,121.61388616877917,31.294540563770273
10foxps,f,行泰路281弄,121.61003982538007,31.29011031133379
10foxpt,f,行泰路281弄,121.60995013617772,31.29016173179125
10foxpu,f,行泰路281弄,121.61016751278329,31.290399778286144
10foxpv,f,行泰路281弄,121.61016225756384,31.29029934616835
10foxpw,f,行泰路281弄,121.61002186002096,31.290427381984816
10foxq4,f,行泰路281弄,121.61019600073648,31.290311461671966
10foxq9,f,行泰路281弄,121.60996988154437,31.290204474351174
10foxqa,f,行泰路281弄,121.60995869618488,31.29031677088684
10foxsi,f,赵高路968弄,121.6332115450744,31.307097972658163
10foxs9,h,仓汇路401弄,121.20031514145295,31.0089736187026
10foxpf,h,谷水苑,121.24039249553067,31.02110087474702
10foxqj,h,龙源路555号,121.19653689284318,31.055180504720404
10foxrb,h,泗宝路458弄,121.25251959546786,31.115140309549083
10foxqf,h,通波路725弄,121.23670589899727,31.040491413494077
10foxqk,h,王家厍路55弄,121.24805868485807,31.091696943841203
10foxqh,h,新飞路1999弄,121.31668680812248,31.04976679935392
10foxqi,h,新飞路1999弄,121.3166305238505,31.049523763007493
10foxqg,h,新松江路259弄,121.23360717505982,31.038542185348284
10foxpf,h,中山西路1号,121.42108134238438,31.189856695805048
10foxq0,4,东泉路50弄,121.44495133885212,31.15596560325339
10foxqu,4,华发路406弄,121.44709909399356,31.128361543709097
10foxrl,4,凯滨路19弄,121.45890898537294,31.17845473575909
10foxph,4,龙华路2518弄,121.4538334494671,31.17869764133113
10foxre,4,龙水南路385弄,121.45291857722745,31.154225183610563
10foxrn,4,龙吴路1343弄,121.4500759741019,31.136962657622888
10foxsj,4,梅陇九村,121.42089003580146,31.13854165642929
10foxpj,4,钦州北路158弄,121.42149016049878,31.181063566178633
10foxrd,4,日晖六村,121.46199445329098,31.193693286404955
10foxra,4,上中西路151弄,121.42732473035589,31.132799757567927
10foxrc,4,中山南二路945弄,121.45065674533035,31.184458517904456
10foxqq,4,中山西路1788弄,121.42289153004998,31.183158913573315
10foxq2,a,沈阳路41弄,121.53304218672861,31.25979023710601
10foxpm,5,淞虹路800弄,121.3643207859005,31.20715166089106
