SH_ID_36,区36,地址,lng,lat
10frimo,d,白杨村,121.39627173379132,31.34225222007097
10frimp,d,宝安公路2145号,121.34828805640048,31.34952452770891
10frimt,d,宝杨路3084号,121.44346462954644,31.375991311005315
10frimr,d,北宗村,121.40345708220627,31.387937364853627
10frin5,d,蔡家弄村,121.36571840404713,31.372921346480755
10frimu,d,丹霞山路257弄,121.36296696967683,31.36173215219288
10frimv,d,电台路568弄,121.39136314199956,31.355947174078747
10frimz,d,东街村,121.43747792654301,31.382086490732195
10frimw,d,段泾村,121.39658509896893,31.421417177704473
10frimx,d,富锦路1500号,121.4459056474296,31.403156739739146
10frimy,d,富联二路55弄,121.40996027003585,31.37223758131916
10frin6,d,富联路128弄,121.41043710988492,31.353394718965188
10frims,d,高境二村,121.4790075436431,31.322392069904435
10frin4,d,高境路477弄,121.47190665131703,31.323867078136395
10frin0,d,高逸路201弄,121.48962326248609,31.325184298606512
10frin1,d,共富二村,121.4321999463787,31.35024121310452
10frinm,d,共富路228弄,121.42914960861611,31.349475991911216
10frin2,d,共和新路4719弄,121.44934476373945,31.319225876380045
10frin3,d,顾北东路155弄,121.41215110591902,31.360972534808557
10frio4,d,顾北东路500弄,121.40938244294139,31.35597751150788
10frinf,d,顾北路666弄,121.38861316800278,31.349113498903222
10frin7,d,顾陈路388号,121.38880694341846,31.336494033241117
10frina,d,顾陈路455弄,121.39007176025657,31.338187969570917
10friov,d,归王村,121.35669370434505,31.35861137942244
10frin8,d,涵青路100弄,121.40245078445244,31.332742289454572
10frin9,d,呼兰路515弄,121.45011213911316,31.346794681960727
10frini,d,呼玛三村,121.44160535755913,31.339278449649346
10frinb,d,呼玛一村,121.45176716113767,31.341845946493276
10frinc,d,虎林路611号,121.45557691586285,31.34142967886592
10frind,d,沪太路4332号,121.39573129024683,31.340106438125737
10friny,d,沪太路5018号,121.3809467257851,31.350587538694427
10frine,d,华和路6号,121.41037750488933,31.291451004283513
10frint,d,华灵路1920号,121.4030633733875,31.280077017888868
10frinh,d,华灵路410弄,121.42273651108482,31.273046385058993
10frio7,d,华灵路680弄,121.42227188151676,31.27930235171983
10frinj,d,集贤路85弄,121.35278263204157,31.42373591588058
10frioc,d,菊泉街1398弄,121.36954937432941,31.362910769856327
10frink,d,菊泉街547弄,121.37627563005142,31.35635310589397
10frinv,d,菊泉街577弄,121.37400026794678,31.357305256169077
10frinn,d,兰岗路757号,121.45338460017426,31.375624230398355
10frinr,d,莲花山路517弄,121.44514322124266,31.361977220631285
10frins,d,联杨路1078弄,121.35424263003452,31.345069845203405
10frinl,d,罗店路840弄,121.3487753413686,31.397398973156022
10frinu,d,罗溪路1001弄,121.34326293291316,31.424965668156336
10frinw,d,美丹路1058弄,121.33745086411395,31.395387161706307
10frinz,d,美秀路358弄,121.35134435200051,31.38394392447584
10frio1,d,牡丹江路1900号,121.47561912132448,31.41461576082908
10frio2,d,南大路160弄,121.40151277535776,31.300055516484917
10frioe,d,南大路76弄,121.40581228654612,31.29982235328078
